path,true_label,true_label_name,pred_label,pred_label_name,confidence,correct,prob_Stroma,prob_Normal,prob_G3,prob_G4,prob_G5,source
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5024_1170.tif,0,Stroma,0,Stroma,0.9842121,1,0.9842121,0.00011850947,0.00015499046,0.0147221545,0.00079213636,NTU
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5024_1295.tif,0,Stroma,0,Stroma,0.9879346,1,0.9879346,0.00046181865,0.00032146985,0.009174218,0.002107854,NTU
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5024_1420.tif,0,Stroma,0,Stroma,0.9993493,1,0.9993493,3.3310685e-06,2.859978e-06,0.00062109437,2.3445858e-05,NTU
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5024_1545.tif,0,Stroma,0,Stroma,0.97473735,1,0.97473735,4.8299124e-05,3.4728426e-05,0.025090903,8.874516e-05,NTU
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5149_1045.tif,0,Stroma,0,Stroma,0.9856588,1,0.9856588,0.0004748384,0.00033827344,0.012265096,0.0012629607,NTU
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5149_1170.tif,0,Stroma,0,Stroma,0.94601625,1,0.94601625,0.0019828943,0.003311408,0.042408,0.0062815603,NTU
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5149_1295.tif,0,Stroma,0,Stroma,0.9691371,1,0.9691371,0.0015654822,0.0004958148,0.028398784,0.00040290234,NTU
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5149_1420.tif,0,Stroma,0,Stroma,0.9903178,1,0.9903178,5.9917857e-05,4.2385167e-05,0.00936979,0.00021008438,NTU
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5149_1545.tif,0,Stroma,0,Stroma,0.9909684,1,0.9909684,5.6611894e-05,4.901716e-05,0.008759847,0.00016603764,NTU
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5149_795.tif,0,Stroma,0,Stroma,0.98989606,1,0.98989606,0.00091288553,0.00036017163,0.007557932,0.001272884,NTU
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5149_920.tif,0,Stroma,0,Stroma,0.95319545,1,0.95319545,0.0013023058,0.0010327379,0.04126181,0.003207671,NTU
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5274_1045.tif,0,Stroma,0,Stroma,0.9804745,1,0.9804745,0.0008122456,0.0007129121,0.01613235,0.0018681237,NTU
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5274_1170.tif,0,Stroma,0,Stroma,0.9856204,1,0.9856204,0.00027755622,0.00089365157,0.012264869,0.0009436367,NTU
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5274_1295.tif,0,Stroma,0,Stroma,0.9115308,1,0.9115308,0.0005337592,0.00039122597,0.08689936,0.0006448999,NTU
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5274_1420.tif,0,Stroma,0,Stroma,0.95676714,1,0.95676714,0.00023327496,0.00010865232,0.0420352,0.0008556295,NTU
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5274_795.tif,0,Stroma,0,Stroma,0.9939084,1,0.9939084,0.00020833818,0.00023035656,0.005323116,0.00032979657,NTU
