path,class_name,class_idx,split
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_1_1367_3262.tif,Stroma,0,train
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_1_2117_2637.tif,Stroma,0,val
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_1_2242_3262.tif,Stroma,0,train
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_1_2242_4512.tif,Stroma,0,train
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_1_2367_4012.tif,Stroma,0,train
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_1_2367_5137.tif,Stroma,0,train
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_1_2742_1887.tif,Stroma,0,train
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_1_2742_2887.tif,Stroma,0,train
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_1_2742_3512.tif,Stroma,0,train
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_1_2867_2637.tif,Stroma,0,train
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_1_2992_3512.tif,Stroma,0,train
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_1_3117_4637.tif,Stroma,0,train
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_1_3242_2387.tif,Stroma,0,train
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_1_3367_2137.tif,Stroma,0,val
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_1_3367_4387.tif,Stroma,0,val
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_1_3617_2762.tif,Stroma,0,train
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_1_3867_387.tif,Stroma,0,train
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_1_3992_387.tif,Stroma,0,train
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_1_4117_887.tif,Stroma,0,train
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_1_4617_1637.tif,Stroma,0,train
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_1_4742_1137.tif,Stroma,0,val
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_1_4742_1887.tif,Stroma,0,val
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_1_617_2762.tif,Stroma,0,train
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_1_617_2887.tif,Stroma,0,train
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_2_10222_12494.tif,Stroma,0,train
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_2_10222_9369.tif,Stroma,0,train
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_2_10472_11744.tif,Stroma,0,train
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_2_10722_10869.tif,Stroma,0,val
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_2_10722_11619.tif,Stroma,0,train
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_2_10847_10869.tif,Stroma,0,train
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_2_10847_8369.tif,Stroma,0,train
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_2_11097_9744.tif,Stroma,0,train
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_2_11222_10369.tif,Stroma,0,val
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_2_11347_11994.tif,Stroma,0,train
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_2_11347_8369.tif,Stroma,0,val
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_2_11472_9744.tif,Stroma,0,train
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_2_11722_10494.tif,Stroma,0,train
Data/SetB/251_Train_B/Stroma/11366_18_S1_HE_Scan1_Stroma_2_11722_10869.tif,Stroma,0,train
