path,source,true_label_name,pred_label_name,confidence,correct,top2_margin,progression_score,low_margin,near_boundary,transition,uncertainty
Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_1125_4416.tif,SetA,Stroma,Stroma,0.9999771,1,0.9999621,10.29512,0,0,0,2.2888184e-05
Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_1125_791.tif,SetA,Stroma,Stroma,0.9655487,1,0.9408301,12.360445,0,0,0,0.034451306
Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_1250_6916.tif,SetA,Stroma,Stroma,0.999584,1,0.99919254,10.845501,0,0,0,0.00041598082
Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_1375_5541.tif,SetA,Stroma,Stroma,0.9999678,1,0.9999375,10.758507,0,0,0,3.2186508e-05
Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_1500_916.tif,SetA,Stroma,Stroma,0.9954234,1,0.99112374,9.981451,0,0,0,0.0045766234
Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_1625_3666.tif,SetA,Stroma,Stroma,0.9995652,1,0.9991877,10.521678,0,0,0,0.00043481588
Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_1625_6041.tif,SetA,Stroma,Stroma,0.9980562,1,0.9970983,11.294942,0,0,0,0.0019438267
Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_1750_8666.tif,SetA,Stroma,Stroma,0.99629635,1,0.993082,10.701235,0,0,0,0.0037036538
Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_1875_3791.tif,SetA,Stroma,Stroma,0.9999943,1,0.9999899,10.740105,0,0,0,5.722046e-06
Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_1875_5416.tif,SetA,Stroma,Stroma,0.9995647,1,0.9991498,10.600809,0,0,0,0.00043529272
Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_2000_4791.tif,SetA,Stroma,Stroma,0.9999379,1,0.9998883,11.815952,0,0,0,6.210804e-05
Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_2000_5791.tif,SetA,Stroma,Stroma,0.99995005,1,0.9999116,11.577372,0,0,0,4.9948692e-05
Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_2000_8166.tif,SetA,Stroma,Stroma,0.9999423,1,0.99990356,11.543444,0,0,0,5.7697296e-05
Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_2125_5791.tif,SetA,Stroma,Stroma,0.9998889,1,0.99980587,11.651738,0,0,0,0.00011110306
Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_2125_7916.tif,SetA,Stroma,Stroma,0.99993634,1,0.99990433,11.020466,0,0,0,6.365776e-05
Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_2250_5916.tif,SetA,Stroma,Stroma,0.9986419,1,0.9973701,11.622208,0,0,0,0.0013580918
