path,true_label,true_label_name,pred_label,pred_label_name,confidence,correct,normalisation
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5024_1170.tif,0,Stroma,0,Stroma,0.9871157,1,reinhard
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5024_1295.tif,0,Stroma,0,Stroma,0.9841649,1,reinhard
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5024_1420.tif,0,Stroma,0,Stroma,0.99915504,1,reinhard
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5024_1545.tif,0,Stroma,0,Stroma,0.96666336,1,reinhard
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5149_1045.tif,0,Stroma,0,Stroma,0.99288815,1,reinhard
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5149_1170.tif,0,Stroma,0,Stroma,0.96863437,1,reinhard
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5149_1295.tif,0,Stroma,0,Stroma,0.9740845,1,reinhard
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5149_1420.tif,0,Stroma,0,Stroma,0.99151516,1,reinhard
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5149_1545.tif,0,Stroma,0,Stroma,0.9893645,1,reinhard
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5149_795.tif,0,Stroma,0,Stroma,0.9917977,1,reinhard
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5149_920.tif,0,Stroma,0,Stroma,0.9710017,1,reinhard
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5274_1045.tif,0,Stroma,0,Stroma,0.989302,1,reinhard
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5274_1170.tif,0,Stroma,0,Stroma,0.99225485,1,reinhard
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5274_1295.tif,0,Stroma,0,Stroma,0.9352179,1,reinhard
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5274_1420.tif,0,Stroma,0,Stroma,0.95719916,1,reinhard
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5274_795.tif,0,Stroma,0,Stroma,0.9919264,1,reinhard
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5274_920.tif,0,Stroma,0,Stroma,0.9720724,1,reinhard
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5399_1045.tif,0,Stroma,0,Stroma,0.9913906,1,reinhard
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5399_1170.tif,0,Stroma,0,Stroma,0.9636762,1,reinhard
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5399_1295.tif,0,Stroma,0,Stroma,0.9657615,1,reinhard
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5399_1420.tif,0,Stroma,0,Stroma,0.9020356,1,reinhard
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5399_795.tif,0,Stroma,0,Stroma,0.894408,1,reinhard
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5399_920.tif,0,Stroma,0,Stroma,0.97440886,1,reinhard
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5524_1045.tif,0,Stroma,0,Stroma,0.968538,1,reinhard
Data/Test_NTU_additional/Stroma/P8940_A18_Scan1_Stroma_1_5524_1170.tif,0,Stroma,0,Stroma,0.98917586,1,reinhard
