path,true_label,true_label_name,pred_label,pred_label_name,confidence,correct,prob_Stroma,prob_Normal,prob_G3,prob_G4,prob_G5,source,umap_x,umap_y,progression_score,high_conf_wrong,top2_margin,low_margin,near_boundary,transition,uncertainty
Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_1125_4416.tif,0,Stroma,0,Stroma,0.9999771,1,0.9999771,9.190378e-07,1.8825663e-06,1.49993475e-05,5.022073e-06,SetA,-5.6263447,-0.5832631,10.29512,0,0.9999621,0,0,0,2.2888184e-05
Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_1125_791.tif,0,Stroma,0,Stroma,0.9655487,1,0.9655487,0.0018799466,0.0024932455,0.005359521,0.024718564,SetA,-6.0385494,-1.0993259,12.360445,0,0.9408301,0,0,0,0.034451306
Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_1250_6916.tif,0,Stroma,0,Stroma,0.999584,1,0.999584,2.361895e-06,2.98358e-06,0.0003914832,1.9129135e-05,SetA,-5.8808227,-0.29429257,10.845501,0,0.99919254,0,0,0,0.00041598082
Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_1375_5541.tif,0,Stroma,0,Stroma,0.9999678,1,0.9999678,1.0722799e-06,8.164522e-08,3.0317673e-05,7.2954293e-07,SetA,-5.8494444,-0.8631894,10.758507,0,0.9999375,0,0,0,3.2186508e-05
Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_1500_916.tif,0,Stroma,0,Stroma,0.9954234,1,0.9954234,0.00019884016,1.9085843e-05,0.004299667,5.8990605e-05,SetA,-5.9153457,0.37022626,9.981451,0,0.99112374,0,0,0,0.0045766234
Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_1625_3666.tif,0,Stroma,0,Stroma,0.9995652,1,0.9995652,2.895612e-05,4.55909e-06,0.0003774914,2.3777191e-05,SetA,-5.754658,-0.17129251,10.521678,0,0.9991877,0,0,0,0.00043481588
Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_1625_6041.tif,0,Stroma,0,Stroma,0.9980562,1,0.9980562,0.0009578228,1.5277948e-05,0.0006581745,0.00031262494,SetA,-5.6527777,-0.2835699,11.294942,0,0.9970983,0,0,0,0.0019438267
Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_1750_8666.tif,0,Stroma,0,Stroma,0.99629635,1,0.99629635,0.0001639677,7.386341e-05,0.003214385,0.0002513808,SetA,-6.0967736,0.19203691,10.701235,0,0.993082,0,0,0,0.0037036538
Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_1875_3791.tif,0,Stroma,0,Stroma,0.9999943,1,0.9999943,4.379031e-06,2.3614449e-08,8.8344405e-07,4.3178656e-07,SetA,-5.5599117,-0.42190638,10.740105,0,0.9999899,0,0,0,5.722046e-06
Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_1875_5416.tif,0,Stroma,0,Stroma,0.9995647,1,0.9995647,8.361011e-06,1.2301151e-06,0.00041493098,1.0805731e-05,SetA,-5.723005,-0.18161374,10.600809,0,0.9991498,0,0,0,0.00043529272
